"APELLIDO","NOMBRE","Apellido y Nombre Diputado","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"CORDOBA"," José Manuel","CORDOBA José Manuel","Frente para la Victoria - PJ","Santa Cruz","AFIRMATIVO"
"CORDOBA"," Stella Maris","CORDOBA Stella Maris","Frente para la Victoria - PJ","Tucumán","AFIRMATIVO"
"CORTINA"," Roy","CORTINA Roy","Partido Socialista","C.A.B.A.","NEGATIVO"
"CREMER DE BUSTI"," María Cristina","CREMER DE BUSTI María Cristina","Peronismo Federal","Entre Ríos","AUSENTE"
"CUCCOVILLO"," Ricardo Oscar","CUCCOVILLO Ricardo Oscar","Partido Socialista","Buenos Aires","NEGATIVO"
"CUEVAS"," Hugo Oscar","CUEVAS Hugo Oscar","De la Concertación","Rio Negro","AFIRMATIVO"
"CUSINATO"," Gustavo","CUSINATO Gustavo","Unión Cívica Radical","Entre Ríos","NEGATIVO"
"DAHER"," Zulema Beatríz","DAHER Zulema Beatríz","Unión Peronista","Salta","NEGATIVO"
"DALLA FONTANA"," Ariel  Raúl Armando","DALLA FONTANA Ariel  Raúl Armando","Santa Fe Federal","Santa Fe","NEGATIVO"
"DAMILANO GRIVARELLO"," Viviana Mónica","DAMILANO GRIVARELLO Viviana Mónica","Frente para la Victoria - PJ","Chaco","AFIRMATIVO"
"DATO"," Alfredo Carlos","DATO Alfredo Carlos","Frente para la Victoria - PJ","Tucumán","AFIRMATIVO"
"DE LA ROSA"," Maria Graciela","DE LA ROSA Maria Graciela","Frente para la Victoria - PJ","Formosa","AFIRMATIVO"
"DE MARCHI"," OMAR","DE MARCHI OMAR","Demócrata de Mendoza","Mendoza","NEGATIVO"
"DE NARVAEZ"," Francisco","DE NARVAEZ Francisco","Unión Celeste y Blanco","Buenos Aires","NEGATIVO"
"DEL CAMPILLO"," Héctor Eduardo","DEL CAMPILLO Héctor Eduardo","Unión Cívica Radical","Córdoba","NEGATIVO"
"DELICH"," Francisco José","DELICH Francisco José","Partido Nuevo Contra la Corrupción","Córdoba","AFIRMATIVO"
"DEPETRI"," Edgardo Fernando","DEPETRI Edgardo Fernando","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"di TULLIO"," Juliana","di TULLIO Juliana","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"DIAZ BANCALARI"," José María","DIAZ BANCALARI José María","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"DIAZ ROIG"," Juan Carlos","DIAZ ROIG Juan Carlos","Frente para la Victoria - PJ","Formosa","AFIRMATIVO"
"DIAZ"," Susana Eladia","DIAZ Susana Eladia","Frente para la Victoria - PJ","Tucumán","AFIRMATIVO"
"DIEZ"," María Inés","DIEZ María Inés","Renovador de Salta","Salta","AFIRMATIVO"
"DONDA PÉREZ"," Victoria Analía","DONDA PÉREZ Victoria Analía","Encuentro Popular y Social","Buenos Aires","NEGATIVO"
"DOVENA"," Miguel Dante","DOVENA Miguel Dante","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"ERRO"," Norberto Pedro","ERRO Norberto Pedro","Unión Cívica Radical","Buenos Aires","NEGATIVO"
"FABRIS"," Luciano Rafael","FABRIS Luciano Rafael","Unión Cívica Radical","Chaco","AUSENTE"
"FADEL"," Patricia Susana","FADEL Patricia Susana","Frente para la Victoria - PJ","Mendoza","AFIRMATIVO"
"FEIN"," MONICA","FEIN MONICA","Partido Socialista","Santa Fe","NEGATIVO"
"FELLNER"," Eduardo Alfredo","FELLNER Eduardo Alfredo","Frente para la Victoria - PJ","Jujuy","PRESIDENTE"
"FERNANDEZ BASUALDO"," Luis María","FERNANDEZ BASUALDO Luis María","Frente para la Victoria - PJ","Formosa","AFIRMATIVO"
"FERNANDEZ"," Marcelo Omar","FERNANDEZ Marcelo Omar","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"FERRA DE BARTOL"," Margarita","FERRA DE BARTOL Margarita","Frente para la Victoria - PJ","San Juan","AFIRMATIVO"
"FERRO"," Francisco José","FERRO Francisco José","Coalición Cívica - ARI - GEN - UPT","Buenos Aires","NEGATIVO"
"FIOL"," Paulina Esther","FIOL Paulina Esther","Frente para la Victoria - PJ","Santa Fe","AFIRMATIVO"
"FLORES"," Héctor Toty","FLORES Héctor Toty","Coalición Cívica - ARI - GEN - UPT","Buenos Aires","NEGATIVO"
"GALANTINI"," Eduardo Leonel","GALANTINI Eduardo Leonel","Frente para la Victoria - PJ","Corrientes","AFIRMATIVO"
"GALVALISI"," Luis Alberto","GALVALISI Luis Alberto","Propuesta Republicana","C.A.B.A.","NEGATIVO"
"GARCIA de MORENO"," Eva","GARCIA de MORENO Eva","Trabajo y Dignidad","Chubut","AUSENTE"
"GARCIA MENDEZ"," Emilio Arturo","GARCIA MENDEZ Emilio Arturo","Solidaridad e Igualdad (SI)","C.A.B.A.","NEGATIVO"
"GARCIA"," Irma Adriana","GARCIA Irma Adriana","Unión Peronista","La Pampa","NEGATIVO"
"GARCÍA"," María Teresa","GARCÍA María Teresa","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"GARCIA"," Susana Rosa","GARCIA Susana Rosa","Coalición Cívica - ARI - GEN - UPT","Santa Fe","NEGATIVO"
"GARDELLA"," Patricia Susana","GARDELLA Patricia Susana","Corriente Peronista Federal","Buenos Aires","AFIRMATIVO"
"GENEM"," Amanda Susana","GENEM Amanda Susana","Frente para la Victoria - PJ","Mendoza","AFIRMATIVO"
"GEREZ"," Elda Ramona","GEREZ Elda Ramona","Partido Socialista","Santa Fe","AUSENTE"
"GIANNETTASIO"," Graciela María","GIANNETTASIO Graciela María","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"GIL LOZANO"," Claudia Fernanda","GIL LOZANO Claudia Fernanda","Coalición Cívica - ARI - GEN - UPT","C.A.B.A.","NEGATIVO"
"GINZBURG"," Nora Raquel","GINZBURG Nora Raquel","Frente por los Derechos Ciudadanos","C.A.B.A.","AUSENTE"
"GIOJA"," Juan Carlos","GIOJA Juan Carlos","Frente para la Victoria - PJ","San Juan","AFIRMATIVO"
"GIUBERGIA"," Miguel Angel","GIUBERGIA Miguel Angel","Unión Cívica Radical","Jujuy","NEGATIVO"
"GIUDICI"," SILVANA","GIUDICI SILVANA","Unión Cívica Radical","C.A.B.A.","NEGATIVO"
"GODOY"," Ruperto Eduardo","GODOY Ruperto Eduardo","Frente para la Victoria - PJ","San Juan","AFIRMATIVO"
"GONZALEZ"," Juan Dante","GONZALEZ Juan Dante","Frente para la Victoria - PJ","Mendoza","AFIRMATIVO"
"GONZALEZ"," María América","GONZALEZ María América","Solidaridad e Igualdad (SI)","C.A.B.A.","NEGATIVO"
"GONZALEZ"," Nancy Susana","GONZALEZ Nancy Susana","Frente para la Victoria - PJ","Chubut","AFIRMATIVO"
"GORBACZ"," Leonardo Ariel","GORBACZ Leonardo Ariel","Proyecto Progresista","Tierra del Fuego","AFIRMATIVO"
"GRIBAUDO"," Christian Alejandro","GRIBAUDO Christian Alejandro","Propuesta Republicana","Buenos Aires","NEGATIVO"
"GUERCI de SIUFI"," Beatriz Elvira","GUERCI de SIUFI Beatriz Elvira","Unión Cívica Radical","Jujuy","NEGATIVO"
"GULLO"," Juan Carlos Dante","GULLO Juan Carlos Dante","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"GUTIERREZ"," Graciela Beatriz","GUTIERREZ Graciela Beatriz","Frente para la Victoria - PJ","Santa Cruz","AFIRMATIVO"
"HALAK"," Beatriz Susana","HALAK Beatriz Susana","Unión Peronista","Córdoba","AFIRMATIVO"
"HEREDIA"," Arturo Miguel","HEREDIA Arturo Miguel","Peronismo Federal","Córdoba","AFIRMATIVO"
"HERRERA"," Alberto","HERRERA Alberto","Frente para la Victoria - PJ","Tucumán","AFIRMATIVO"
"HERRERA"," Griselda Noemí","HERRERA Griselda Noemí","Frente para la Victoria - PJ","La Rioja","AFIRMATIVO"
"HERRERA"," José Alberto","HERRERA José Alberto","Frente Cívico por Santiago","Santiago del Estero","AFIRMATIVO"
"HOTTON"," Cynthia Liliana","HOTTON Cynthia Liliana","Valores para mi País","C.A.B.A.","AUSENTE"
"IBARRA"," Vilma Lidia","IBARRA Vilma Lidia","Encuentro Popular y Social","C.A.B.A.","NEGATIVO"
"IGLESIAS"," FERNANDO ADOLFO","IGLESIAS FERNANDO ADOLFO","Coalición Cívica - ARI - GEN - UPT","C.A.B.A.","NEGATIVO"
"ILARREGUI"," Luis Alfredo","ILARREGUI Luis Alfredo","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"IRRAZABAL"," Juan Manuel","IRRAZABAL Juan Manuel","Frente para la Victoria - PJ","Misiones","AFIRMATIVO"
"ITURRIETA"," Miguel Angel","ITURRIETA Miguel Angel","Frente para la Victoria - PJ","Misiones","AFIRMATIVO"
"KAKUBUR"," Emilio","KAKUBUR Emilio","Dignidad Peronista","Misiones","AFIRMATIVO"
"KATZ"," Daniel","KATZ Daniel","Unión Cívica Radical","Buenos Aires","NEGATIVO"
"KENNY"," Eduardo Enrique Federico","KENNY Eduardo Enrique Federico","Unión Cívica Radical","La Pampa","NEGATIVO"
"KORENFELD"," Beatriz Liliana","KORENFELD Beatriz Liliana","Frente para la Victoria - PJ","Santa Cruz","AFIRMATIVO"
"KRONEBERGER"," Daniel Ricardo","KRONEBERGER Daniel Ricardo","Unión Cívica Radical","La Pampa","NEGATIVO"
"KUNKEL"," Carlos Miguel","KUNKEL Carlos Miguel","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"LANCETA"," Rubén Orfel","LANCETA Rubén Orfel","Unión Cívica Radical","Buenos Aires","NEGATIVO"
"LANDAU"," Jorge Alberto","LANDAU Jorge Alberto","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"LEDESMA"," Julio Rubén","LEDESMA Julio Rubén","Corriente Peronista Federal","Buenos Aires","AFIRMATIVO"
"LEGUIZAMON"," María Laura","LEGUIZAMON María Laura","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"LEMOS"," Silvia Beatriz","LEMOS Silvia Beatriz","Unión Cívica Radical","Mendoza","NEGATIVO"
"LENZ"," María Beatriz","LENZ María Beatriz","Frente para la Victoria - PJ","C.A.B.A.","AFIRMATIVO"
"LEVERBERG"," Stella Maris","LEVERBERG Stella Maris","Frente para la Victoria - PJ","Misiones","AFIRMATIVO"
"LINARES"," María Virginia","LINARES María Virginia","GEN","Buenos Aires","NEGATIVO"
"LLANOS"," Edith","LLANOS Edith","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"LLERA"," Timoteo","LLERA Timoteo","Frente para la Victoria - PJ","Misiones","AFIRMATIVO"
"LOPEZ ARIAS"," Marcelo Eduardo","LOPEZ ARIAS Marcelo Eduardo","Peronista Salteño","Salta","AUSENTE"
"LOPEZ"," Ernesto Segundo","LOPEZ Ernesto Segundo","Frente para la Victoria - PJ","San Juan","AFIRMATIVO"
"LOPEZ"," Rafael Angel","LOPEZ Rafael Angel","Frente para la Victoria - PJ","Formosa","AFIRMATIVO"
"LORENZO BOROCOTO"," Eduardo","LORENZO BOROCOTO Eduardo","Movimiento Independiente","C.A.B.A.","AFIRMATIVO"
"LORGES"," Juan Carlos","LORGES Juan Carlos","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
