"APELLIDO","NOMBRE","Apellido y Nombre Diputado","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"SCIUTTO"," Rubén Darío","SCIUTTO Rubén Darío","Frente para la Victoria - PJ","Tierra del Fuego","AFIRMATIVO"
"SEGARRA"," Adela Rosa","SEGARRA Adela Rosa","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"SEREBRINSKY"," Gustavo Eduardo","SEREBRINSKY Gustavo Eduardo","Unión Cívica Radical","Buenos Aires","NEGATIVO"
"SESMA"," Laura Judith","SESMA Laura Judith","Partido Socialista","Córdoba","AUSENTE"
"SLUGA"," Juan Carlos","SLUGA Juan Carlos","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"SNOPEK"," Carlos Daniel","SNOPEK Carlos Daniel","Frente para la Victoria - PJ","Jujuy","AFIRMATIVO"
"SOLANAS"," Raúl Patricio","SOLANAS Raúl Patricio","Frente para la Victoria - PJ","Entre Ríos","AFIRMATIVO"
"SOTO"," Gladys Beatriz","SOTO Gladys Beatriz","Frente para la Victoria - PJ","Chaco","AUSENTE"
"SPATOLA"," Paola Rosana","SPATOLA Paola Rosana","Guardia Peronista","Buenos Aires","AFIRMATIVO"
"STORNI"," Silvia","STORNI Silvia","Unión Cívica Radical","Córdoba","NEGATIVO"
"SYLVESTRE BEGNIS"," Juan Héctor","SYLVESTRE BEGNIS Juan Héctor","Frente para la Victoria - PJ","Santa Fe","AFIRMATIVO"
"THOMAS"," Enrique Luis","THOMAS Enrique Luis","Unión Peronista","Mendoza","NEGATIVO"
"TOMAZ"," Adriana Elisa","TOMAZ Adriana Elisa","Partido Unidad Federalista","Buenos Aires","AFIRMATIVO"
"TORFE"," Mónica Liliana","TORFE Mónica Liliana","Renovador de Salta","Salta","AFIRMATIVO"
"TORRONTEGUI"," María Angélica","TORRONTEGUI María Angélica","Frente Justicia Unión y Libertad","San Luis","NEGATIVO"
"URLICH"," Carlos","URLICH Carlos","Unión Cívica Radical","Chaco","NEGATIVO"
"VACA NARVAJA"," Patricia","VACA NARVAJA Patricia","Frente para la Victoria - PJ","Córdoba","AFIRMATIVO"
"VARGAS AIGNASSE"," Gerónimo","VARGAS AIGNASSE Gerónimo","Frente para la Victoria - PJ","Tucumán","AFIRMATIVO"
"VARISCO"," Sergio Fausto","VARISCO Sergio Fausto","Unión Cívica Radical","Entre Ríos","NEGATIVO"
"VAZQUEZ"," Silvia Beatriz","VAZQUEZ Silvia Beatriz","Partido de la Concertación - FORJA","Buenos Aires","NEGATIVO"
"VEGA"," Juan Carlos","VEGA Juan Carlos","Coalición Cívica - ARI - GEN - UPT","Córdoba","NEGATIVO"
"VELARDE"," Marta Sylvia","VELARDE Marta Sylvia","Justicialismo Republicano","Santiago del Estero","NEGATIVO"
"VIALE"," Lisandro Alfredo","VIALE Lisandro Alfredo","Partido Socialista","Entre Ríos","NEGATIVO"
"VILARIÑO"," José Antonio","VILARIÑO José Antonio","Frente para la Victoria - PJ","Salta","AFIRMATIVO"
"VILLAVERDE"," Jorge Antonio","VILLAVERDE Jorge Antonio","Peronista Federal","Buenos Aires","AUSENTE"
"WEST"," Mariano Federíco","WEST Mariano Federíco","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"ZANCADA"," Pablo Ventura","ZANCADA Pablo Ventura","Partido Socialista","Santa Fe","NEGATIVO"
"ZAVALLO"," Gustavo Marcelo","ZAVALLO Gustavo Marcelo","Peronismo Federal","Entre Ríos","NEGATIVO"
